2026-01-10 15:56:38,509 | INFO | spark.ingest.alpha_vantage | Dane OK zapisane do: data/raw/alpha_vantage/market=forex/frequency=daily (partitionBy pair, ingest_date)
2026-01-10 15:56:38,509 | INFO | spark.ingest.alpha_vantage | Liczba rekordów OK: 15000
2026-01-10 15:56:38,509 | INFO | spark.ingest.alpha_vantage | Liczba rekordów błędów: 0
2026-01-10 16:10:14,512 | INFO | spark.ingest.alpha_vantage | Ingest start. pairs=[('EUR', 'USD'), ('GBP', 'USD'), ('USD', 'JPY')], parallelism=1, ingest_date=2026-01-10, min_sleep=1.1
2026-01-10 16:10:30,550 | INFO | spark.ingest.alpha_vantage | Dane OK zapisane do: data/raw/alpha_vantage/market=forex/frequency=daily (partitionBy pair, ingest_date)
2026-01-10 16:10:30,550 | INFO | spark.ingest.alpha_vantage | Liczba rekordów OK: 15000
2026-01-10 16:10:30,551 | INFO | spark.ingest.alpha_vantage | Liczba rekordów błędów: 0
2026-01-10 16:13:15,696 | INFO | spark.ingest.alpha_vantage | Ingest start. pairs=[('EUR', 'USD'), ('GBP', 'USD'), ('USD', 'JPY')], parallelism=1, ingest_date=2026-01-10, min_sleep=1.1
2026-01-10 16:13:31,356 | INFO | spark.ingest.alpha_vantage | Dane OK zapisane do: data/raw/alpha_vantage/market=forex/frequency=daily (partitionBy pair, ingest_date)
2026-01-10 16:13:31,357 | INFO | spark.ingest.alpha_vantage | Liczba rekordów OK: 15000
2026-01-10 16:13:31,357 | INFO | spark.ingest.alpha_vantage | Liczba rekordów błędów: 0
2026-01-14 15:31:23,020 | INFO | spark.ingest.alpha_vantage | Ingest start. pairs=[('EUR', 'USD'), ('GBP', 'USD'), ('USD', 'JPY')], parallelism=1, ingest_date=2026-01-14, min_sleep=1.1
2026-01-14 15:31:37,901 | INFO | spark.ingest.alpha_vantage | Dane OK zapisane do: data/raw/alpha_vantage/market=forex/frequency=daily (partitionBy pair, ingest_date)
2026-01-14 15:31:37,901 | INFO | spark.ingest.alpha_vantage | Liczba rekordów OK: 15000
2026-01-14 15:31:37,901 | INFO | spark.ingest.alpha_vantage | Liczba rekordów błędów: 0
2026-01-14 15:32:49,069 | INFO | spark.ingest.alpha_vantage | Ingest start. pairs=[('EUR', 'USD'), ('GBP', 'USD'), ('USD', 'JPY')], parallelism=1, ingest_date=2026-01-14, min_sleep=1.1
2026-01-14 15:33:03,634 | INFO | spark.ingest.alpha_vantage | Dane OK zapisane do: data/raw/alpha_vantage/market=forex/frequency=daily (partitionBy pair, ingest_date)
2026-01-14 15:33:03,634 | INFO | spark.ingest.alpha_vantage | Liczba rekordów OK: 15000
2026-01-14 15:33:03,634 | INFO | spark.ingest.alpha_vantage | Liczba rekordów błędów: 0
2026-01-14 15:33:59,868 | INFO | spark.ingest.alpha_vantage | Ingest start. pairs=[('EUR', 'USD'), ('GBP', 'USD'), ('USD', 'JPY')], parallelism=1, ingest_date=2026-01-14, min_sleep=1.1
2026-01-14 15:34:15,475 | INFO | spark.ingest.alpha_vantage | Dane OK zapisane do: data/raw/alpha_vantage/market=forex/frequency=daily (partitionBy pair, ingest_date)
2026-01-14 15:34:15,475 | INFO | spark.ingest.alpha_vantage | Liczba rekordów OK: 15000
2026-01-14 15:34:15,475 | INFO | spark.ingest.alpha_vantage | Liczba rekordów błędów: 0
2026-01-14 15:39:08,503 | INFO | spark.ingest.alpha_vantage | Ingest start. pairs=[('EUR', 'USD'), ('GBP', 'USD'), ('USD', 'JPY')], parallelism=1, ingest_date=2026-01-14, min_sleep=1.1
2026-01-14 15:39:24,754 | INFO | spark.ingest.alpha_vantage | Dane OK zapisane do: data/raw/alpha_vantage/market=forex/frequency=daily (partitionBy pair, ingest_date)
2026-01-14 15:39:24,754 | INFO | spark.ingest.alpha_vantage | Liczba rekordów OK: 15000
2026-01-14 15:39:24,754 | INFO | spark.ingest.alpha_vantage | Liczba rekordów błędów: 0
2026-01-14T22:46:59+0000 | INFO | spark.ingest.alpha_vantage | Ingest start. pairs=[('EUR', 'USD'), ('GBP', 'USD'), ('USD', 'JPY')], parallelism=1, ingest_date=2026-01-14, min_sleep=1.1
2026-01-14T22:47:14+0000 | INFO | spark.ingest.alpha_vantage | Dane OK zapisane do: data/raw/alpha_vantage/market=forex/frequency=daily (partitionBy pair, ingest_date)
2026-01-14T22:47:14+0000 | INFO | spark.ingest.alpha_vantage | Liczba rekordów OK: 15000
2026-01-14T22:47:14+0000 | INFO | spark.ingest.alpha_vantage | Liczba rekordów błędów: 0
2026-01-14T22:48:25+0000 | INFO | spark.ingest.alpha_vantage | Ingest start. pairs=[('EUR', 'USD'), ('GBP', 'USD'), ('USD', 'JPY')], parallelism=1, ingest_date=2026-01-14, min_sleep=1.1
2026-01-14T22:48:40+0000 | INFO | spark.ingest.alpha_vantage | Dane OK zapisane do: data/raw/alpha_vantage/market=forex/frequency=daily (partitionBy pair, ingest_date)
2026-01-14T22:48:40+0000 | INFO | spark.ingest.alpha_vantage | Liczba rekordów OK: 15000
2026-01-14T22:48:40+0000 | INFO | spark.ingest.alpha_vantage | Liczba rekordów błędów: 0
2026-01-14T22:50:26+0000 | INFO | spark.ingest.alpha_vantage | Ingest start. pairs=[('EUR', 'USD'), ('GBP', 'USD'), ('USD', 'JPY')], parallelism=1, ingest_date=2026-01-14, min_sleep=1.1
2026-01-14T22:50:42+0000 | INFO | spark.ingest.alpha_vantage | Dane OK zapisane do: data/raw/alpha_vantage/market=forex/frequency=daily (partitionBy pair, ingest_date)
2026-01-14T22:50:42+0000 | INFO | spark.ingest.alpha_vantage | Liczba rekordów OK: 15000
2026-01-14T22:50:42+0000 | INFO | spark.ingest.alpha_vantage | Liczba rekordów błędów: 0
